"subject","contrast","sf","target_side","response","unique_id"
"S1",0.0694834512228015,0.5,"right","right","544ee9ff-2569-4f38-b04e-7e4d0a0be4d2"
"S1",0.013123728736941,40,"right","left","b27fe910-e3ba-48fb-b168-5afb1f115d8f"
"S1",0.0694834512228015,4.47213595499958,"left","left","72c9d6ce-0a90-4d4b-a199-03435c15291b"
"S1",0.0694834512228015,40,"left","right","48b5bbb2-e6ee-4848-b77e-839ed5320c01"
"S1",0.367879441171442,13.3748060995284,"left","left","32a5cce4-3f8a-4e63-80c1-3fee3230d1bd"
"S1",0.00247875217666636,0.5,"left","right","47ebce53-9d5a-48de-936b-25d5105a0784"
"S1",0.013123728736941,0.5,"right","right","17444af1-8ece-4ea7-a6cc-1606b1306f6b"
"S1",0.0057035489980074,40,"right","left","9591e876-d87b-44ad-a4b6-5e4f61883b3b"
"S1",0.00247875217666636,40,"left","right","835d67f4-e53a-4d68-ae73-8be7a25d2bda"
"S1",0.0694834512228015,4.47213595499958,"right","right","7196f4e8-3318-4510-aade-fdf821945d4d"
"S1",0.013123728736941,4.47213595499958,"right","right","d4bced7c-d30a-43fe-a189-42e12e7ba87b"
"S1",0.0694834512228015,0.5,"left","left","71f11e4d-cb8d-43eb-adde-9e1880e282f7"
"S1",0.013123728736941,4.47213595499958,"right","right","4da34592-4250-41b2-ac41-cba79f77bab9"
"S1",0.367879441171442,13.3748060995284,"left","left","321744ea-f368-4592-b029-96a6a4e5b026"
"S1",0.00247875217666636,0.5,"right","left","08b68658-7227-4b18-97f0-efa5a321daed"
"S1",0.159879746079694,4.47213595499958,"right","right","dafb77eb-65de-4f9b-89a3-a150f0a95f67"
"S1",0.0057035489980074,1.49534878122122,"right","right","08cf08f0-f9f1-4e67-b565-838780b0681d"
"S1",0.159879746079694,1.49534878122122,"right","right","a3cd2c4a-6773-4afc-a867-5eb662421d2c"
"S1",0.367879441171442,40,"left","left","18752bd8-1df5-4ec5-858e-337da3b2840c"
"S1",0.0694834512228015,1.49534878122122,"right","right","55dd3545-fc6d-45e8-b1cd-703f92545a1a"
"S1",0.00247875217666636,40,"left","right","43e426f5-f986-4a26-9462-8d63de965d2c"
"S1",0.159879746079694,0.5,"left","left","d459ee16-3768-4668-9bb6-229f8b16e143"
"S1",0.0057035489980074,4.47213595499958,"right","left","1b9a16fd-1096-48d9-a3b3-b52e8fb01a3d"
"S1",0.0694834512228015,13.3748060995284,"left","left","8d18666f-5347-40a7-a3be-87bf81c9347f"
"S1",0.0057035489980074,13.3748060995284,"right","right","13aecf77-8d64-4177-8fcc-816509520b62"
"S1",0.0694834512228015,4.47213595499958,"left","left","2369ec36-ad77-4f80-809c-9d6686a6c974"
"S1",0.00247875217666636,40,"left","left","4ff0de23-8512-4192-86c6-60773fe4d712"
"S1",0.00247875217666636,4.47213595499958,"left","right","de22314b-16ef-4137-a6f5-130284582157"
"S1",0.013123728736941,4.47213595499958,"left","left","def00235-53b7-429f-976d-d820a423104b"
"S1",0.0694834512228015,40,"left","right","71c88c3f-bc14-4573-b8c0-8314683e8f32"
"S1",0.00247875217666636,13.3748060995284,"left","right","5bd59b87-22ec-4754-94f8-4434f002b14b"
"S1",0.00247875217666636,1.49534878122122,"left","left","37b22814-6be2-4a1a-8f05-95719be8ca25"
"S1",0.013123728736941,13.3748060995284,"left","right","c05a2447-d8e1-430d-a45f-0d2e02ac97aa"
"S1",0.0301973834223185,0.5,"left","left","685f2831-9cc7-458a-81c3-8a460d4f4db3"
"S1",0.013123728736941,13.3748060995284,"right","left","3c7f70e3-7735-4c2a-ab5a-c3e75174e22f"
"S1",0.0057035489980074,1.49534878122122,"left","left","6fce2808-3d50-4f0c-8e2c-7bd0a6056e65"
"S1",0.0057035489980074,1.49534878122122,"right","right","c126b613-0373-4498-ab08-2d4b233ac5c4"
"S1",0.0301973834223185,0.5,"left","right","f03180cb-36a8-4f43-8a90-f6278623d260"
"S1",0.367879441171442,0.5,"right","right","79e6109e-8fb0-44e6-80cc-2269df8e1fbf"
"S1",0.013123728736941,1.49534878122122,"left","right","727b8cf6-8c1a-42a0-98f4-9cddf4e753f8"
"S1",0.0301973834223185,4.47213595499958,"left","left","43421b1c-fba2-4944-af21-7bf76186d585"
"S1",0.0301973834223185,0.5,"right","right","84e2d659-f92b-4132-ba91-658c9b5ffec7"
"S1",0.0057035489980074,40,"right","left","7ec7d482-767f-4085-988c-64005a3cc4c5"
"S1",0.367879441171442,40,"left","left","e76b5aab-de3c-491f-bd89-8a75d691edf2"
"S1",0.367879441171442,40,"left","left","ffe75f87-0a6f-4a19-a7ba-bc7c141720b9"
"S1",0.013123728736941,13.3748060995284,"left","right","1e38695e-9947-4405-bf4f-cf2557b51256"
"S1",0.367879441171442,1.49534878122122,"right","right","7d09e83e-309a-4832-b3c3-61daf7e57aed"
"S1",0.0694834512228015,40,"left","right","45ad9006-5e7e-4cf2-9013-319fd3ab916e"
